Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
1,Glen Lyn 132,1,1,3,3,1.06,0.0,1.06,0.0,0.0,0.0,260.2,-16.1,132.0,1.06,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2,Claytor  132,1,1,2,2,1.043,-5.48,1.043,-5.48,21.7,12.7,40.0,50.0,132.0,1.045,50.0,-40.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
3,Kumis    132,1,1,0,0,1.021,-7.96,1.021,-7.96,2.4,1.2,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,Hancock  132,1,1,0,0,1.012,-9.62,1.012,-9.62,7.6,1.6,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
5,Fieldale 132,1,1,2,2,1.01,-14.37,1.01,-14.37,94.2,19.0,0.0,37.0,132.0,1.01,40.0,-40.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
6,Roanoke  132,1,1,0,0,1.01,-11.34,1.01,-11.34,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
7,Blaine   132,1,1,0,0,1.002,-13.12,1.002,-13.12,22.8,10.9,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
8,Reusens  132,1,1,2,2,1.01,-12.1,1.01,-12.1,30.0,30.0,0.0,37.3,132.0,1.01,40.0,-10.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
9,Roanoke  1.0,1,1,0,0,1.051,-14.38,1.051,-14.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,Roanoke   33,1,1,0,0,1.045,-15.97,1.045,-15.97,5.8,2.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.19,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
