ID,Val,NROW,NCOL,NIR,NIC
1,14.7681599667342 - 56.71804496776893im,1,1,3,4
2,13.404717489443025 - 43.20111652771969im,2,2,6,7
3,-9.731618379861413 + 32.829555980255364im,1,2,44,2
4,-9.731618379861413 + 32.829555980255364im,2,1,2,45
5,16.592549283101405 - 52.628545447095405im,3,3,9,10
6,-3.673099109581612 + 10.47696054746433im,2,3,-1,5
7,-3.673099109581612 + 10.47696054746433im,3,2,5,-1
8,12.385459833756709 - 41.6991839786293im,4,4,12,13
9,-7.645051194539249 + 24.982935153583618im,3,4,52,8
10,-7.645051194539249 + 24.982935153583618im,4,3,8,53
11,8.945028785408407 - 18.936057016338665im,5,5,57,58
12,-2.9301109926043996 + 6.1883944163804925im,4,5,15,11
13,-2.9301109926043996 + 6.1883944163804925im,5,4,11,16
14,10.767178087451889 - 33.94420346229461im,6,6,18,19
15,-1.8102976466130596 + 6.230791899970531im,4,6,55,57
16,-1.8102976466130596 + 6.230791899970531im,6,4,58,56
17,4.4924211158239045 - 39.45010093392331im,7,7,59,60
18,-1.8511662347278788 + 9.44094779711218im,6,7,21,17
19,-1.8511662347278788 + 9.44094779711218im,7,6,17,22
20,7.470354935284153 - 38.10443137601975im,8,8,24,25
21,-1.090796413306944 + 5.566601165253727im,6,8,-1,59
22,-1.090796413306944 + 5.566601165253727im,8,6,60,-1
23,10.744469101572609 - 53.84286934707256im,9,9,27,28
24,-3.738303640881182 + 19.069124632777747im,8,9,-1,23
25,-3.738303640881182 + 19.069124632777747im,9,8,23,-1
26,2.9079512281938995 - 29.44163782251251im,10,10,61,62
27,-1.2486456086589006 + 5.681506712569902im,9,10,30,26
28,-1.2486456086589006 + 5.681506712569902im,10,9,26,31
29,7.092195578126456 - 31.859566095623805im,11,11,63,64
30,-3.283829811065234 + 10.793363099935343im,9,11,33,29
31,-3.283829811065234 + 10.793363099935343im,11,9,29,34
32,10.982464631990274 - 43.48102503911886im,12,12,65,66
33,-0.7103390729022745 + 3.2337967053421446im,9,12,36,61
34,-0.7103390729022745 + 3.2337967053421446im,12,9,62,37
35,20.07285583804516 - 72.10151701541im,13,13,39,40
36,-1.7633509680650172 + 5.79229631921565im,9,13,212,63
37,-1.7633509680650172 + 5.79229631921565im,13,9,64,213
38,11.620889435813439 - 54.52840799662937im,14,14,71,72
39,-6.414617552726211 + 21.090484983963453im,13,14,42,38
40,-6.414617552726211 + 21.090484983963453im,14,13,38,43
41,15.801627147487178 - 65.4221756174027im,15,15,156,157
42,-3.2506688643927286 + 10.50123138720179im,13,15,178,71
43,-3.2506688643927286 + 10.50123138720179im,15,13,72,179
44,-2.0702874210266766 + 10.584053669293684im,1,15,47,52
45,-2.0702874210266766 + 10.584053669293684im,15,1,53,48
46,3.6163101351063753 - 16.316767298415957im,16,16,-1,-1
47,-1.0202898342276228 + 4.629508939446922im,1,16,50,67
48,-1.0202898342276228 + 4.629508939446922im,16,1,68,51
49,3.1269112844927536 - 14.116999037828222im,17,17,-1,-1
50,-1.9459643316184865 + 8.830426378772962im,1,17,-1,69
51,-1.9459643316184865 + 8.830426378772962im,17,1,70,-1
52,-5.274398978980543 + 17.255749746047456im,3,15,-1,42
53,-5.274398978980543 + 17.255749746047456im,15,3,43,-1
54,0.676204920894292 - 5.032156235789663im,18,18,74,75
55,-0.0 + 4.2354227179922574im,4,18,-1,54
56,-0.0 + 4.2354227179922574im,18,4,54,-1
57,-6.014917792804007 + 12.766762599958174im,5,6,-1,14
58,-6.014917792804007 + 12.766762599958174im,6,5,14,-1
59,-2.641254881096026 + 13.529305577988277im,7,8,106,20
60,-2.641254881096026 + 13.529305577988277im,8,7,20,107
61,-1.6593056195349989 + 7.55972451932552im,10,12,176,32
62,-1.6593056195349989 + 7.55972451932552im,12,10,32,177
63,-3.8083657670612223 + 12.50100332506195im,11,13,144,65
64,-3.8083657670612223 + 12.50100332506195im,13,11,66,145
65,-4.83585268579998 + 15.757272796426902im,12,13,67,35
66,-4.83585268579998 + 15.757272796426902im,13,12,35,68
67,-2.596020300878753 + 11.725358358969034im,12,16,69,46
68,-2.596020300878753 + 11.725358358969034im,16,12,46,70
69,-1.1809469528742673 + 5.324672659055261im,12,17,-1,49
70,-1.1809469528742673 + 5.324672659055261im,17,12,49,-1
71,-5.206271883087228 + 16.653980818998328im,14,15,159,41
72,-5.206271883087228 + 16.653980818998328im,15,14,41,160
73,1.7304245934529165 - 2.621491547085819im,19,19,77,78
74,-0.676204920894292 + 1.004773038639024im,18,19,-1,73
75,-0.676204920894292 + 1.004773038639024im,19,18,73,-1
76,1.0542196725586246 - 2.9042168990738073im,20,20,81,80
77,-1.0542196725586246 + 1.6167185084467954im,19,20,-1,76
78,-1.0542196725586246 + 1.6167185084467954im,20,19,76,-1
79,3.8522010932714186 - 7.307270335004731im,21,21,83,84
80,-0.0 + 1.2344183994506346im,21,20,79,-1
81,-0.0 + 1.2344183994506346im,20,21,-1,79
82,49.43655801823438 - 76.12896902353584im,22,22,86,87
83,-3.8522010932714186 + 6.123743585771141im,21,22,-1,82
84,-3.8522010932714186 + 6.123743585771141im,22,21,82,-1
85,31.869795205084515 - 48.939355374483746im,23,23,89,90
86,-30.086612976751255 + 46.19358760066859im,22,23,141,85
87,-30.086612976751255 + 46.19358760066859im,23,22,85,142
88,1.7831822283332617 - 23.83915955301913im,24,24,92,93
89,-1.7831822283332617 + 2.7499677738151505im,23,24,-1,88
90,-1.7831822283332617 + 2.7499677738151505im,24,23,88,-1
91,2.287011468938996 - 5.022078609305155im,25,25,109,110
92,-0.0 + 1.6590318187445834im,24,25,95,91
93,-0.0 + 1.6590318187445834im,25,24,91,96
94,1.7985415463097199 - 23.91031300476318im,26,26,98,99
95,-0.0 + 20.27003743875915im,24,26,-1,94
96,-0.0 + 20.27003743875915im,26,24,94,-1
97,6.581675195422751 - 10.152336288263326im,27,27,101,102
98,-1.7985415463097199 + 2.7686639561373867im,26,27,-1,97
99,-1.7985415463097199 + 2.7686639561373867im,27,26,97,-1
100,12.832539283311835 - 18.687502732304644im,28,28,104,105
101,-4.78313364911303 + 7.38367233212594im,27,28,-1,100
102,-4.78313364911303 + 7.38367233212594im,28,27,100,-1
103,10.635366413674095 - 30.08942892817585im,29,29,181,182
104,-8.049405634198804 + 11.303830400178704im,28,29,-1,103
105,-8.049405634198804 + 11.303830400178704im,29,28,103,-1
106,-0.0 + 15.958737089381696im,7,29,-1,104
107,-0.0 + 15.958737089381696im,29,7,105,-1
108,3.2097792060351082 - 4.828843003250044im,30,30,112,113
109,-2.287011468938996 + 3.422046790560572im,25,30,-1,108
110,-2.287011468938996 + 3.422046790560572im,30,25,108,-1
111,1.53577213573517 - 2.3196528615503955im,31,31,115,116
112,-0.9227677370961122 + 1.4067962126894715im,30,31,-1,111
113,-0.9227677370961122 + 1.4067962126894715im,31,30,111,-1
114,14.451684922814387 - 14.671166910317956im,32,32,118,119
115,-0.6130043986390576 + 0.9128566488609241im,31,32,-1,114
116,-0.6130043986390576 + 0.9128566488609241im,32,31,114,-1
117,13.838680524175329 - 12.7089923181202im,33,33,-1,-1
118,-13.838680524175329 + 12.7089923181202im,32,33,122,117
119,-13.838680524175329 + 12.7089923181202im,33,32,117,121
120,5.9171597633136095 - 9.977958651767871im,34,34,124,125
121,-0.0 + 1.076223531627519im,34,32,120,-1
122,-0.0 + 1.076223531627519im,32,34,-1,120
123,15.00290169866116 - 20.219952247950964im,35,35,127,128
124,-5.9171597633136095 + 8.875739644970416im,34,35,-1,123
125,-5.9171597633136095 + 8.875739644970416im,35,34,123,-1
126,32.15210180844287 - 43.30193559455543im,36,36,130,131
127,-9.085741935347551 + 11.346612602980548im,35,36,-1,126
128,-9.085741935347551 + 11.346612602980548im,36,35,126,-1
129,29.71891182668826 - 42.659552411299586im,37,37,133,134
130,-13.299335950398062 + 16.78467916498514im,36,37,139,129
131,-13.299335950398062 + 16.78467916498514im,37,36,129,140
132,38.845965805466825 - 63.14000092135528im,38,38,153,154
133,-4.514932567297463 + 6.997798710296681im,37,38,136,132
134,-4.514932567297463 + 6.997798710296681im,38,37,132,137
135,11.904643308992735 - 19.646512041300777im,39,39,204,205
136,-11.904643308992735 + 18.87807453601777im,37,39,-1,135
137,-11.904643308992735 + 18.87807453601777im,39,37,135,-1
138,9.76702392269726 - 16.083246952101323im,40,40,197,198
139,-9.76702392269726 + 15.171443826589746im,36,40,-1,138
140,-9.76702392269726 + 15.171443826589746im,40,36,138,-1
141,-15.497743948211706 + 23.81163783709611im,22,38,-1,133
142,-15.497743948211706 + 23.81163783709611im,38,22,134,-1
143,2.152079791268772 - 6.777339808462038im,41,41,147,148
144,-0.0 + 1.3980245912525602im,11,41,192,143
145,-0.0 + 1.3980245912525602im,41,11,143,193
146,2.4878941700894233 - 4.187490862516338im,42,42,202,201
147,-1.2413569770858697 + 2.1109065504068893im,41,42,150,146
148,-1.2413569770858697 + 2.1109065504068893im,42,41,146,151
149,0.0 - 8.963132178437718im,43,43,-1,-1
150,-0.0 + 2.4271844660194177im,41,43,200,149
151,-0.0 + 2.4271844660194177im,43,41,149,199
152,10.017998886963142 - 20.166358190471847im,44,44,194,195
153,-6.788084914479525 + 13.740587110624645im,38,44,210,152
154,-6.788084914479525 + 13.740587110624645im,44,38,152,211
155,3.2299139724836174 - 16.02370006257273im,45,45,-1,-1
156,-0.0 + 10.049140296047673im,15,45,-1,194
157,-0.0 + 10.049140296047673im,45,15,195,-1
158,4.46341936735882 - 26.800038567322915im,46,46,162,163
159,-0.0 + 15.117157974300833im,14,46,-1,158
160,-0.0 + 15.117157974300833im,46,14,158,-1
161,25.28412109364667 - 39.84967057850199im,47,47,165,166
162,-4.46341936735882 + 13.196196390452164im,46,47,-1,161
163,-4.46341936735882 + 13.196196390452164im,47,46,161,-1
164,33.81918209647381 - 46.74034273969996im,48,48,168,169
165,-20.82070172628785 + 26.65507418804983im,47,48,-1,164
166,-20.82070172628785 + 26.65507418804983im,48,47,164,-1
167,9.628707340730987 - 20.28534056110395im,49,49,171,172
168,-3.5344134907800115 + 5.4668985648755575im,48,49,-1,167
169,-3.5344134907800115 + 5.4668985648755575im,49,48,167,-1
170,5.563150171357755 - 8.867991065867086im,50,50,174,175
171,-3.513156353878792 + 5.6140326254242865im,49,50,-1,170
172,-3.513156353878792 + 5.6140326254242865im,50,49,170,-1
173,2.0499938174789634 - 17.298902260667518im,51,51,-1,-1
174,-2.0499938174789634 + 3.253958440442799im,50,51,-1,173
175,-2.0499938174789634 + 3.253958440442799im,51,50,173,-1
176,-0.0 + 15.102090129273892im,10,51,-1,174
177,-0.0 + 15.102090129273892im,51,10,175,-1
178,-0.0 + 5.849834742168533im,13,49,-1,208
179,-0.0 + 5.849834742168533im,49,13,209,-1
180,7.505581155225823 - 9.70639536589644im,52,52,184,185
181,-2.5859607794752906 + 3.353499762565044im,29,52,-1,180
182,-2.5859607794752906 + 3.353499762565044im,52,29,180,-1
183,7.027533873625333 - 8.893920797724121im,53,53,187,188
184,-4.919620375750532 + 6.352895603331397im,52,53,-1,183
185,-4.919620375750532 + 6.352895603331397im,53,52,183,-1
186,4.238281961828708 - 5.389986263016051im,54,54,190,191
187,-2.107913497874801 + 2.6040251943927255im,53,54,-1,186
188,-2.107913497874801 + 2.6040251943927255im,54,53,186,-1
189,2.130368463953907 - 11.084716255345318im,55,55,-1,-1
190,-2.130368463953907 + 2.7859610686233256im,54,55,-1,189
191,-2.130368463953907 + 2.7859610686233256im,55,54,189,-1
192,-0.0 + 6.822492392920982im,11,43,-1,150
193,-0.0 + 6.822492392920982im,43,11,151,-1
194,-3.2299139724836174 + 6.4287710798472im,44,45,-1,155
195,-3.2299139724836174 + 6.4287710798472im,45,44,155,-1
196,3.935019621392185 - 6.473962115212544im,56,56,207,206
197,-0.0 + 0.8735073942400923im,40,56,-1,200
198,-0.0 + 0.8735073942400923im,56,40,199,-1
199,-0.9107228141829021 + 0.9041353073895357im,56,41,201,-1
200,-0.9107228141829021 + 0.9041353073895357im,41,56,-1,202
201,-1.2465371930035534 + 2.076584312109449im,56,42,196,-1
202,-1.2465371930035534 + 2.076584312109449im,42,56,-1,196
203,1.7777596142057295 - 3.394429792105351im,57,57,-1,-1
204,-0.0 + 0.7530687551773477im,39,57,-1,207
205,-0.0 + 0.7530687551773477im,57,39,206,-1
206,-1.7777596142057295 + 2.6564224120315503im,57,56,203,-1
207,-1.7777596142057295 + 2.6564224120315503im,56,57,-1,203
208,-2.5811374960721825 + 3.9727072765632716im,38,49,-1,168
209,-2.5811374960721825 + 3.9727072765632716im,49,38,169,-1
210,-9.464066879405948 + 14.620769986774574im,38,48,208,165
211,-9.464066879405948 + 14.620769986774574im,48,38,166,209
212,-0.0 + 8.828462964597865im,9,55,-1,190
213,-0.0 + 8.828462964597865im,55,9,191,-1
