ID,Val,NROW,NCOL,NIR,NIC
1,9.34796077554253 - 30.73535168587283im,1,1,3,4
2,7.292577198534823 - 24.010143634641825im,2,2,37,38
3,-2.7803011534120623 + 9.166735486002146im,1,2,6,2
4,-2.7803011534120623 + 9.166735486002146im,2,1,2,7
5,10.267965185686807 - 36.09291181779156im,3,3,12,13
6,-6.567659622130468 + 21.586726199870686im,1,3,-1,5
7,-6.567659622130468 + 21.586726199870686im,3,1,5,-1
8,30.39834322385403 - 132.79754432795008im,4,4,10,11
9,36.22531420145282 - 197.27286053274236im,5,5,15,16
10,-26.35598550420798 + 119.50043427476116im,4,5,30,9
11,-26.35598550420798 + 119.50043427476116im,5,4,9,31
12,-1.9681808047654477 + 8.820063357455117im,3,5,39,10
13,-1.9681808047654477 + 8.820063357455117im,5,3,11,40
14,14.008565328969855 - 63.49542649332891im,6,6,18,19
15,-3.891928663236973 + 17.660852757545925im,5,6,25,14
16,-3.891928663236973 + 17.660852757545925im,6,5,14,24
17,17.123032806395305 - 73.47277094953269im,7,7,41,42
18,-10.116636665732882 + 45.844453735782984im,6,7,-1,17
19,-10.116636665732882 + 45.844453735782984im,7,6,17,-1
20,4.290696056501771 - 90.04018352330266im,8,8,22,23
21,5.078727707729041 - 62.24018051288326im,9,9,27,28
22,-2.6062706872735806 + 32.578383590919756im,8,9,103,21
23,-2.6062706872735806 + 32.578383590919756im,9,8,21,104
24,-0.0 + 38.02353656913629im,8,5,20,33
25,-0.0 + 38.02353656913629im,5,8,32,20
26,2.472457020455461 - 30.242796921963507im,10,10,-1,-1
27,-2.472457020455461 + 30.857796921963505im,9,10,-1,26
28,-2.472457020455461 + 30.857796921963505im,10,9,26,-1
29,26.043813693394895 - 85.98227436517908im,11,11,35,36
30,-4.042357719646051 + 13.306900053188917im,4,11,-1,32
31,-4.042357719646051 + 13.306900053188917im,11,4,33,-1
32,-4.009219229242416 + 13.469396622380923im,5,11,-1,29
33,-4.009219229242416 + 13.469396622380923im,11,5,29,-1
34,35.82308543270447 - 125.84670675734785im,12,12,47,48
35,-14.18143899895725 + 46.715328467153284im,11,12,44,34
36,-14.18143899895725 + 46.715328467153284im,12,11,34,45
37,-4.512276045122761 + 14.86396814863968im,2,12,-1,39
38,-4.512276045122761 + 14.86396814863968im,12,2,40,-1
39,-1.7321247587908908 + 5.726032260465756im,3,12,-1,41
40,-1.7321247587908908 + 5.726032260465756im,12,3,42,-1
41,-7.0063961406624236 + 27.635437213749704im,7,12,-1,35
42,-7.0063961406624236 + 27.635437213749704im,12,7,36,-1
43,4.950735527009625 - 16.223883547576023im,13,13,50,51
44,-3.810797745549181 + 12.519969222455961im,11,13,-1,43
45,-3.810797745549181 + 12.519969222455961im,13,11,43,-1
46,5.368679557797911 - 17.604202145725214im,14,14,52,53
47,-3.937195325175709 + 12.946963232089425im,12,14,55,46
48,-3.937195325175709 + 12.946963232089425im,14,12,46,56
49,18.22552588836041 - 59.885113390384376im,15,15,58,59
50,-1.139937781460444 + 3.744634325120061im,13,15,-1,52
51,-1.139937781460444 + 3.744634325120061im,15,13,53,-1
52,-1.4314842326222021 + 4.691418913635789im,14,15,-1,49
