ID,Val,NROW,NCOL,NIR,NIC
1,6.025029055768224 - 19.44707020551438im,1,1,3,4
2,9.521323610814777 - 30.27211539877906im,2,2,9,10
3,-4.999131600798035 + 15.26308652317955im,1,2,6,2
4,-4.999131600798035 + 15.26308652317955im,2,1,2,7
5,9.568017783560265 - 35.533639456044824im,5,5,27,28
6,-1.025897454970189 + 4.234983682334831im,1,5,-1,14
7,-1.025897454970189 + 4.234983682334831im,5,1,15,-1
8,3.1209949022329564 - 9.82238012935164im,3,3,16,17
9,-1.1350191923073958 + 4.781863151757718im,2,3,12,8
10,-1.1350191923073958 + 4.781863151757718im,3,2,8,13
11,10.512989522036175 - 38.654171207607796im,4,4,18,19
12,-1.6860331506149429 + 5.115838325872082im,2,4,14,16
13,-1.6860331506149429 + 5.115838325872082im,4,2,17,15
14,-1.7011396670944048 + 5.193927397969713im,2,5,-1,18
15,-1.7011396670944048 + 5.193927397969713im,5,2,19,-1
16,-1.9859757099255606 + 5.0688169775939205im,3,4,-1,11
17,-1.9859757099255606 + 5.0688169775939205im,4,3,11,-1
18,-6.840980661495671 + 21.578553981691588im,4,5,21,5
19,-6.840980661495671 + 21.578553981691588im,5,4,5,22
20,0.0 - 19.54900594826465im,7,7,39,40
21,-0.0 + 4.889512660317341im,4,7,24,20
22,-0.0 + 4.889512660317341im,7,4,20,25
23,5.326055039467359 - 24.092506375267877im,9,9,44,45
24,-0.0 + 1.8554995578159004im,4,9,-1,41
25,-0.0 + 1.8554995578159004im,9,4,42,-1
26,6.579923407466222 - 17.34073280991911im,6,6,30,31
27,-0.0 + 4.257445335253385im,5,6,-1,26
28,-0.0 + 4.257445335253385im,6,5,26,-1
29,3.8359133168776602 - 8.497018093700962im,11,11,-1,-1
30,-1.9550285631772606 + 4.0940743442404415im,6,11,33,49
31,-1.9550285631772606 + 4.0940743442404415im,11,6,50,34
32,4.014992027272893 - 5.427938591201611im,12,12,51,52
33,-1.5259674404509738 + 3.1759639650294im,6,12,36,32
34,-1.5259674404509738 + 3.1759639650294im,12,6,32,37
35,6.724946148466233 - 10.66969354947068im,13,13,53,54
36,-3.0989274038379873 + 6.102755448193115im,6,13,-1,51
37,-3.0989274038379873 + 6.102755448193115im,13,6,52,-1
38,0.0 - 5.676979846721544im,8,8,-1,-1
39,-0.0 + 5.676979846721544im,7,8,41,38
40,-0.0 + 5.676979846721544im,8,7,38,42
41,-0.0 + 9.090082719752749im,7,9,-1,23
42,-0.0 + 9.090082719752749im,9,7,23,-1
43,5.782934306147828 - 14.768337876521436im,10,10,49,50
44,-3.902049552447428 + 10.365394127060915im,9,10,47,43
45,-3.902049552447428 + 10.365394127060915im,10,9,43,48
46,2.560999644826258 - 5.344013932035955im,14,14,-1,-1
47,-1.4240054870199312 + 3.0290504569306034im,9,14,-1,53
48,-1.4240054870199312 + 3.0290504569306034im,14,9,54,-1
49,-1.8808847537003996 + 4.402943749460521im,10,11,-1,29
50,-1.8808847537003996 + 4.402943749460521im,11,10,29,-1
51,-2.4890245868219187 + 2.251974626172212im,12,13,-1,35
52,-2.4890245868219187 + 2.251974626172212im,13,12,35,-1
53,-1.1369941578063267 + 2.314963475105352im,13,14,-1,46
54,-1.1369941578063267 + 2.314963475105352im,14,13,46,-1
