Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
1,Bus 1     HV,1,1,3,3,1.06,0.0,1.06,0.0,0.0,0.0,2.324,-0.16899999999999998,0.0,1.06,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2,Bus 2     HV,1,1,2,2,1.045,-4.98,1.045,-4.98,0.217,0.127,0.4,0.424,0.0,1.045,0.5,-0.4,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
3,Bus 3     HV,1,1,2,2,1.01,-12.72,1.01,-12.72,0.9420000000000001,0.19,0.0,0.23399999999999999,0.0,1.01,0.4,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,Bus 4     HV,1,1,0,0,1.019,-10.33,1.019,-10.33,0.478,-0.039,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
5,Bus 5     HV,1,1,0,0,1.02,-8.78,1.02,-8.78,0.076,0.016,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
6,Bus 6     LV,1,1,2,2,1.07,-14.22,1.07,-14.22,0.11199999999999999,0.075,0.0,0.122,0.0,1.07,0.24,-0.06,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
7,Bus 7     ZV,1,1,0,0,1.062,-13.37,1.062,-13.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
8,Bus 8     TV,1,1,2,2,1.09,-13.36,1.09,-13.36,0.0,0.0,0.0,0.174,0.0,1.09,0.24,-0.06,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
9,Bus 9     LV,1,1,0,0,1.056,-14.94,1.056,-14.94,0.295,0.166,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.19,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,Bus 10    LV,1,1,0,0,1.051,-15.1,1.051,-15.1,0.09,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11,Bus 11    LV,1,1,0,0,1.057,-14.79,1.057,-14.79,0.035,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
12,Bus 12    LV,1,1,0,0,1.055,-15.07,1.055,-15.07,0.061,0.016,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
13,Bus 13    LV,1,1,0,0,1.05,-15.16,1.05,-15.16,0.135,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
14,Bus 14    LV,1,1,0,0,1.036,-16.04,1.036,-16.04,0.149,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
