ID,Val,NROW,NCOL,NIR,NIC
1,32.72764358666334,1,1,2,5
2,-5.047017463522684,1,2,3,6
3,-5.3460510505363255,1,3,4,7
4,-5.427654130878349,1,4,50,11
5,-5.047017463522684,2,1,6,8
6,10.166522610892542,2,2,7,9
7,-5.11950514736986,2,3,52,10
8,-5.3460510505363255,3,1,9,14
9,-5.11950514736986,3,2,10,86
10,38.78912239773101,3,3,11,15
11,-21.578553981691584,3,4,12,16
12,-4.889512660317341,3,6,13,24
13,-1.8554995578159004,3,8,53,26
14,-5.427654130878349,4,1,15,85
15,-21.578553981691584,4,3,16,23
16,36.05075732456598,4,4,17,18
17,-4.555466508721122,4,5,57,19
18,-4.555466508721122,5,4,19,88
19,18.86435582920648,5,5,20,37
20,-4.380659548337272,5,10,21,36
21,-3.3982814425814576,5,11,22,41
22,-6.529948329566633,5,12,59,42
23,-4.889512660317341,6,3,24,29
24,20.167503412996574,6,6,25,27
25,-6.187908032926483,6,7,26,28
26,-9.090082719752749,6,8,63,31
27,-6.187908032926483,7,6,28,30
28,6.187908032926483,7,7,66,97
29,-1.8554995578159004,8,3,30,87
30,-9.090082719752749,8,6,31,89
31,24.34002686156017,8,8,32,34
32,-10.365394127060917,8,9,33,35
33,-3.029050456930603,8,13,67,46
34,-10.365394127060917,9,8,35,47
35,14.768337876521436,9,9,36,38
36,-4.402943749460521,9,10,72,39
37,-4.380659548337272,10,5,38,40
38,-4.402943749460521,10,9,39,102
39,8.783603297797793,10,10,75,106
40,-3.3982814425814576,11,5,41,43
41,5.65025606875367,11,11,42,44
42,-2.251974626172212,11,12,77,45
43,-6.529948329566633,12,5,44,94
44,-2.251974626172212,12,11,45,111
45,11.096886430844197,12,12,46,48
46,-2.314963475105352,12,13,79,49
47,-3.029050456930603,13,8,48,90
48,-2.314963475105352,13,12,49,112
49,5.344013932035954,13,13,82,103
50,-1.7619046423926152,1,14,51,52
51,-1.7776909521136532,1,15,-1,54
52,-2.0058354670248173,2,14,-1,53
53,10.417258273159245,3,14,54,57
54,-6.840980661495671,3,15,55,58
55,2.9939630144240457e-16,3,16,56,64
56,1.1361657971492858e-16,3,17,-1,65
57,-6.840980661495671,4,14,58,63
58,9.429912651242805,4,15,-1,59
59,2.789418739264145e-16,5,15,60,121
60,-2.0918805625996697,5,19,61,74
61,-1.6327851612825426,5,20,62,77
62,-3.3158523221066476,5,21,-1,78
63,2.9939630144240457e-16,6,14,64,67
64,2.4319348031287225e-15,6,16,65,66
65,5.566070353364936e-16,6,17,-1,69
66,3.7890008829708063e-16,7,16,-1,68
67,1.1361657971492858e-16,8,14,68,120
68,5.566070353364936e-16,8,16,69,122
69,5.326055039467361,8,17,70,72
70,-3.9020495524474277,8,18,71,73
71,-1.4240054870199321,8,22,-1,81
72,-3.9020495524474277,9,17,73,82
73,5.782934306147828,9,18,74,75
74,-1.8808847537004,9,19,-1,76
75,-1.8808847537004,10,18,76,132
76,3.69906131745525,10,19,-1,136
77,3.9081743064413237,11,20,78,79
78,-2.489024586821919,11,21,-1,80
79,-2.489024586821919,12,20,80,139
80,6.508021230197572,12,21,81,83
81,-1.136994157806327,12,22,-1,84
82,-1.4240054870199321,13,17,83,123
83,-1.136994157806327,13,21,84,140
84,2.560999644826257,13,22,-1,133
85,1.7619046423926152,14,1,86,91
86,2.0058354670248173,14,2,87,-1
87,-10.608720770913106,14,3,88,92
88,6.840980661495671,14,4,89,93
89,-2.9939630144240457e-16,14,6,90,96
90,-1.1361657971492858e-16,14,8,120,98
91,1.7776909521136532,15,1,92,-1
92,6.840980661495671,15,3,93,95
93,-9.706122915877724,15,4,94,-1
94,-2.789418739264145e-16,15,5,124,107
95,-2.9939630144240457e-16,16,3,96,99
96,2.4319348031287225e-15,16,6,97,100
97,-3.7890008829708063e-16,16,7,98,-1
98,-5.566070353364936e-16,16,8,126,101
99,-1.1361657971492858e-16,17,3,100,-1
100,-5.566070353364936e-16,17,6,101,-1
101,-5.326055039467358,17,8,102,104
102,3.9020495524474277,17,9,103,105
103,1.4240054870199321,17,13,129,116
104,3.9020495524474277,18,8,105,117
105,-5.782934306147828,18,9,106,108
106,1.8808847537004,18,10,134,109
107,2.0918805625996697,19,5,108,110
108,1.8808847537004,19,9,109,-1
109,-3.9727653163000705,19,10,137,-1
110,1.6327851612825426,20,5,111,113
111,-4.121809748104462,20,11,112,114
112,2.489024586821919,20,12,139,115
113,3.3158523221066476,21,5,114,-1
114,2.489024586821919,21,11,115,-1
115,-6.941871066734894,21,12,116,118
116,1.136994157806327,21,13,141,119
117,1.4240054870199321,22,8,118,-1
118,1.136994157806327,22,12,119,-1
119,-2.560999644826259,22,13,144,-1
120,38.51922001748458,14,14,121,124
121,-21.578553981691584,14,15,122,125
122,-4.889512660317341,14,16,123,127
123,-1.8554995578159004,14,17,-1,128
124,-21.578553981691584,15,14,125,126
125,35.01652158752367,15,15,-1,-1
126,-4.889512660317341,16,14,127,129
127,18.930508483532726,16,16,128,130
128,-9.090082719752749,16,17,-1,131
129,-1.8554995578159004,17,14,130,-1
130,-9.090082719752749,17,16,131,-1
131,23.844985888975586,17,17,132,134
132,-10.365394127060917,17,18,133,135
133,-3.029050456930603,17,22,-1,143
134,-10.365394127060917,18,17,135,144
135,14.768337876521436,18,18,136,137
136,-4.402943749460521,18,19,-1,138
137,-4.402943749460521,19,18,138,-1
138,8.210432889604132,19,19,-1,-1
139,5.205621113649553,20,20,140,141
140,-2.251974626172212,20,21,-1,142
141,-2.251974626172212,21,20,142,-1
142,10.242500668097161,21,21,143,145
143,-2.314963475105352,21,22,-1,146
144,-3.029050456930603,22,17,145,-1
145,-2.314963475105352,22,21,146,-1
146,5.344013932035957,22,22,-1,-1
